username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mariaelenalusna;2016/01/01 18:59;0;1;"@PlataformaALTO @EnriquePenalosa Gracias Alcalde por tener en cuenta a seres indefensos que no pueden hablar pero gritan ayuda!!!";;@PlataformaALTO @EnriquePenalosa;;"683075141623005184";https://twitter.com/mariaelenalusna/status/683075141623005184
jairohg;2016/01/01 18:58;0;1;"@GustavoBolivar @freito Y después dirán que todo es obra del gran urbanista @EnriquePenalosa. Gran prensa.";;@GustavoBolivar @freito @EnriquePenalosa;;"683074832515383298";https://twitter.com/jairohg/status/683074832515383298
colombianjour;2016/01/01 18:57;0;0;"@ELROLODELA14 @EnriquePenalosa Se nota que ni siquiera pasó la primaria. Qué vergüenza expresarse así. Pobre diablo.";;@ELROLODELA14 @EnriquePenalosa;;"683074681851744257";https://twitter.com/colombianjour/status/683074681851744257
eldeltapabocas;2016/01/01 18:57;25;28;"Apreciado @EnriquePenalosa: TODOS los días tuitearé ésta foto. TODOS LOS DÍAS DE TU GOBIERNO. Picos. pic.twitter.com/kq8a2Bbm2Q";;@EnriquePenalosa;;"683074592395661314";https://twitter.com/eldeltapabocas/status/683074592395661314
pierrealee;2016/01/01 18:57;0;0;"Todo lo que empieza mal @EnriquePenalosa termina mal http://www.kienyke.com/kien-escribe/penalosa-empezo-mal/ …";Barranquilla, Colombia;@EnriquePenalosa;;"683074519469264896";https://twitter.com/pierrealee/status/683074519469264896
pangel1960;2016/01/01 18:56;0;0;"@ContraGodarria @FelipeAcevedoM @EnriquePenalosa no ha empezado a gobernar y el que tiene avatar de Stalin ya augura mal. Buena señal!";;@ContraGodarria @FelipeAcevedoM @EnriquePenalosa;;"683074371720744960";https://twitter.com/pangel1960/status/683074371720744960
Angelic684;2016/01/01 18:56;0;0;"@EnriquePenalosa Esperamos todo su compromiso y honestidad con los Bogotanos. Dios le ha dado una gran oportunidad de servir a los demás.";;@EnriquePenalosa;;"683074355232960514";https://twitter.com/Angelic684/status/683074355232960514
LopezMelt7799;2016/01/01 18:55;0;0;""@EnriquePocacosa:Nosotros siempre pensamos en los más débiles..."Obvio que por eso le compramos los votos justo a ellos..." @EnriquePenalosa";;@EnriquePocacosa @EnriquePenalosa;;"683074215604535301";https://twitter.com/LopezMelt7799/status/683074215604535301
paltrich;2016/01/01 18:55;0;0;"Empezó un nuevo año y un nuevo mandato. La mejor energía a @EnriquePenalosa y que la maravillosa Bogotá vuelva a ser realidad! #2016";;@EnriquePenalosa;#2016;"683073998339596288";https://twitter.com/paltrich/status/683073998339596288
margaritavela;2016/01/01 18:54;0;0;"@Fernand30913891 Y esperemos que el desastre que deje @EnriquePenalosa después de esta alcaldía no sea peor.";;@Fernand30913891 @EnriquePenalosa;;"683073792969695237";https://twitter.com/margaritavela/status/683073792969695237
